Species,Geolocation,2002 Quarter 1,2002 Quarter 2,2002 Quarter 3,2002 Quarter 4,2003 Quarter 1,2003 Quarter 2,2003 Quarter 3,2003 Quarter 4,2004 Quarter 1,2004 Quarter 2,2004 Quarter 3,2004 Quarter 4,2005 Quarter 1,2005 Quarter 2,2005 Quarter 3,2005 Quarter 4,2006 Quarter 1,2006 Quarter 2,2006 Quarter 3,2006 Quarter 4,2007 Quarter 1,2007 Quarter 2,2007 Quarter 3,2007 Quarter 4,2008 Quarter 1,2008 Quarter 2,2008 Quarter 3,2008 Quarter 4,2009 Quarter 1,2009 Quarter 2,2009 Quarter 3,2009 Quarter 4,2010 Quarter 1,2010 Quarter 2,2010 Quarter 3,2010 Quarter 4,2011 Quarter 1,2011 Quarter 2,2011 Quarter 3,2011 Quarter 4,2012 Quarter 1,2012 Quarter 2,2012 Quarter 3,2012 Quarter 4,2013 Quarter 1,2013 Quarter 2,2013 Quarter 3,2013 Quarter 4,2014 Quarter 1,2014 Quarter 2,2014 Quarter 3,2014 Quarter 4,2015 Quarter 1,2015 Quarter 2,2015 Quarter 3,2015 Quarter 4,2016 Quarter 1,2016 Quarter 2,2016 Quarter 3,2016 Quarter 4,2017 Quarter 1,2017 Quarter 2,2017 Quarter 3,2017 Quarter 4,2018 Quarter 1,2018 Quarter 2,2018 Quarter 3,2018 Quarter 4,2019 Quarter 1,2019 Quarter 2,2019 Quarter 3,2019 Quarter 4,2020 Quarter 1,2020 Quarter 2,2020 Quarter 3,2020 Quarter 4,2021 Quarter 1,2021 Quarter 2,2021 Quarter 3,2021 Quarter 4
..Indo-pacific mackerel (Hasa-hasa),....Lanao del Norte,..,..,..,24,..,..,..,1,5.11,5.3,..,1.02,7,4.5,..,..,150.94,12.57,..,..,56.98,15.91,114.9,184.71,66.97,29.84,95.47,194,97.9,60.62,48.54,126.86,61.03,110.34,104.45,45.4,69.85,72.65,60.34,37.35,42.43,60.27,73.66,114.28,39.47,45.31,73.1,117.83,61.38,42.49,66.44,121.41,67.96,59.22,72.93,157.1,58.97,55.29,61.8,187.04,66.09,56.67,70.37,208.56,61.03,61.65,77.77,205.35,63.69,66.68,87.81,220.68,64.53,69.45,95.71,225.16,56.9,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Misamis Occidental,10,..,20,..,25,25,20,6,28.08,25.42,20.03,5.42,25.9,26.71,19,210.92,70,11,34.22,210,67.51,43.24,61.92,170.96,52.8,45.35,63.75,172.49,26.29,40.72,38.32,94.53,20.77,47.12,49.75,100.33,69.45,173.89,46.35,92.22,83.56,162.21,124.13,117.09,79.2,122.29,124.17,93.56,83.8,119.1,120.58,87.11,74.51,103.78,117.72,113.72,74.68,119.41,118.89,103.91,75.91,106.97,106.45,101.74,75.04,105.25,99.53,97.79,77.43,94.96,91.88,91.32,76.15,89.58,88.17,84.51,74.48,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Misamis Oriental,8,6,3,6,8,6,1,20,8.19,7,1,18,23.5,255,2.73,19.71,1.9,4.6,0.59,4.75,0.03,10.85,11.17,4.52,2.43,8,5.51,3.4,2.28,7.79,0.7,3.78,3.19,15.29,3.37,2.36,2.29,3.59,2.55,24.03,0.07,5,0.68,4.71,1.3,5.87,0.77,6.38,1.99,27.08,..,9.96,9.64,22.67,6.97,7.25,10.71,9.51,1.75,10.69,22.05,17.47,1.49,10.91,14.88,15.66,1.29,8.85,8.94,21.14,7.31,5.67,0.45,11.07,..,8.54,0.36,..,..,..
..Indo-pacific mackerel (Hasa-hasa),..Region XI (Davao Region),128,113,67,6,133,49,63,5,131.86,50.34,58.88,4.37,76.87,107.32,55.28,37.01,39.27,68.18,74.69,37.8,249.46,32.99,13.79,39.93,29.88,66.97,27.1,41.2,19.68,54.19,19.57,21.04,31.96,48.69,37.33,44.56,37.36,54.02,22.5,27.07,19.65,49.8,64.75,68.32,47.59,27.76,13.12,33.33,16.49,28.81,15.53,26.67,12.72,26.71,16.26,13.02,6.29,29.04,129.4,72.47,32.37,78.46,118.05,69.91,42.26,51.1,60.63,45.56,43.76,32.32,39.62,30.36,34.72,22.73,18.08,14.29,34.14,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Compostela Valley,..,..,..,..,1,1,..,..,1.01,1.06,1.15,1.36,13.71,17.07,5.92,4.04,19.42,53.29,36.34,37.8,24.13,18.33,13.05,37.23,20.19,15.42,12.66,31.3,17.72,42.08,17.72,19.29,20.59,37.81,18.09,19.01,20.87,34.22,14.8,13.81,5.52,15.12,10.91,11.84,3.37,17.51,9.58,8.44,3.05,12.9,8.24,8.81,2.82,22.65,6.47,8.11,..,15.21,7.38,5.12,1.57,14.08,6.53,19.8,2.22,10.01,6.96,5.18,7.93,8.03,7.19,5.06,9.13,7.98,6.55,9.25,7.05,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Davao del Norte,8,7,7,1,8,7,2,2,8.13,7.07,1.92,2.03,7.62,1.61,..,..,19.85,12.79,0.85,..,0.08,11.29,0.74,1.95,9.69,6.3,14.44,9.9,1.96,12.11,1.85,1.75,5.97,2.28,6.84,4.35,3.17,3.8,0.38,7.94,13.43,14.18,4.34,5.48,4.58,10.25,3.54,5.13,4.55,15.91,5.95,17.86,5.72,3.22,2.59,4.54,6.03,10.52,3.52,7.06,8.44,17.03,6.99,12.12,11.18,14.59,3.91,6.67,7.08,7.94,12.44,9,9.61,7.6,11.4,5.04,7.41,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Davao del Sur,51,39,60,..,55,39,60,..,55,41.21,55.81,..,55,29.68,49.36,..,..,..,37.5,..,225.25,3.37,..,..,..,37.1,..,..,..,..,..,..,5.4,8.6,12.4,21.2,..,16,..,..,0.7,20.5,49.5,51,38.5,..,..,19.76,8.89,..,..,..,..,..,..,..,..,1.6,..,16.71,..,..,1.44,..,0.59,..,1.99,..,..,..,1.8,2.32,..,3.06,0.13,..,..,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Davao Occidental,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.1,..,..,..,..,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Davao Oriental,69,67,..,5,68,1,..,3,67.67,1,..,0.98,0.54,58.96,..,32.97,..,2.1,..,..,..,..,..,0.75,..,8.15,..,..,..,..,..,..,..,..,..,..,13.32,..,7.32,5.32,..,..,..,..,1.14,..,..,..,..,..,1.34,..,4.18,0.84,7.2,0.37,0.26,1.71,118.5,43.58,22.36,47.35,103.09,37.99,28.27,26.5,47.77,33.71,28.75,16.35,18.19,13.98,10.88,4.09,..,..,19.68,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....City of Davao,..,..,..,..,1,1,1,..,0.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Indo-pacific mackerel (Hasa-hasa),..Region XII (SOCCSKSARGEN),194,49,39,12,10,53,6,4,4.66,5.48,4.55,3.04,12.55,7.47,6,47.3,6.92,11.21,6.34,6.98,6.27,10,6.2,7.75,5.94,10.14,5.66,6.79,7.7,10.81,5.3,6.73,7.4,10.69,6.84,6.61,7.85,11.1,6.7,7.1,8.66,11.66,6.58,8.36,8.3,14.45,9.81,10.01,6.76,13.2,12.25,12.27,7.61,11.4,7.28,7.99,5.41,28.47,6.65,7.16,5.14,17.75,7.41,6.64,6.17,0.82,2.2,0.43,3.7,6.19,5.77,0.84,5.41,0.59,..,12.13,0.45,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Cotabato,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Sarangani,42,41,3,..,..,42,..,1,..,..,..,0.92,..,..,..,41.32,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.27,1.9,..,3.77,0.4,..,..,1.7,..,..,..,4,..,..,1.5,..,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Sultan Kudarat,10,8,6,7,10,11,6,2,4.66,5.48,4.55,2.12,12.55,7.47,6,5.98,6.92,9.71,6.34,6.98,6.27,10,6.2,7.75,5.94,10.14,5.66,6.79,7.7,10.81,5.3,6.73,7.4,10.69,6.84,6.61,7.85,11.1,6.7,7.1,8.66,11.66,6.58,8.36,8.3,14.45,9.81,10.01,6.76,13.2,12.25,12.27,7.61,11.4,7.28,7.99,5.41,12.26,6.65,7.16,5.14,12.48,5.51,6.59,2.4,0.42,2.2,0.26,2,6.19,5.77,0.84,1.41,0.59,..,10.63,0.45,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....South Cotabato,142,..,30,5,..,..,..,1,..,..,..,..,..,..,..,..,..,1.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.21,..,..,..,..,..,0.05,..,..,..,0.17,..,..,..,..,..,..,..,..,..,..,..,..
..Indo-pacific mackerel (Hasa-hasa),..Region XIII (Caraga),163,127,154,102,167,220,167,106,92.94,177.8,164.5,107,97.5,169.95,146,127,104,185.7,156,129.57,106.82,66.25,9.77,40.72,43.97,52.79,17.54,89.61,35.25,51.73,36.95,80.5,26.56,54.42,66.02,60.62,43.2,74.12,78.4,63.01,78.76,130.81,93.26,136.78,127.45,149.05,169.66,147.65,142.2,137.14,174.11,185.07,164.76,186.9,191.98,195.68,162.66,164.95,166.86,112.54,161.32,196.03,146.84,154.85,191.02,139.62,144.58,144.11,142.71,182.24,131.5,72.63,128.97,160.85,121.4,99.75,94.94,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Agusan del Norte,2,..,76,45,2,90,76,45,1.94,91.8,76.5,45,0.5,87.11,47,30,12,83,67,23,12.6,10,..,..,9.45,5.17,5.92,8.04,5.21,0.04,4.03,2.07,4.32,7,3.52,0.5,2.94,2.66,2.19,0.97,1.47,1.6,0.95,0.31,0.71,0.77,0.25,0.83,0.83,0.83,4.73,1.85,0.56,0.88,2.13,0.78,0.98,2.56,2.06,0.8,1.01,2,1.34,0.61,1.87,2.05,1.68,0.74,1.95,1.23,1.57,0.59,2.1,1.15,1.7,0.69,2.19,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Agusan del Sur,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Dinagat Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.24,16.08,13.02,13.56,10.31,14.58,15.18,22.71,9.16,12.04,13.32,22.11,13.46,16.69,13.82,17.59,12.9,18.48,13.29,17.23,12.84,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Surigao del Norte,150,115,66,40,154,118,78,54,80,74,74,55,87,81.84,85,73,83,101.7,88,84.08,85.93,50,7.52,37.63,29.96,39.85,9.55,79.76,29.46,44.2,30.9,75,22.24,44.1,58.76,54.87,39.4,68.93,73.8,57.19,76.97,128.94,91.57,131.33,126.43,147.91,168.7,143.13,139.94,134.03,165.41,175.04,162.52,186.02,176.21,182.61,130.26,146.11,142.03,84.02,134.78,167.33,122.37,90.77,157.52,112.94,108.16,73.79,115.15,147.61,96.41,54.45,89.22,119.49,88.5,48.22,71.04,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Surigao del Sur,11,12,12,17,11,12,13,7,11,12,14,7,10,1,14,24,9,1,1,22.49,8.29,6.25,2.25,3.09,4.56,7.77,2.07,1.81,0.58,7.49,2.02,3.43,..,3.32,3.74,5.25,0.86,2.53,2.41,4.85,0.32,0.27,0.74,5.14,0.31,0.37,0.71,3.69,1.43,2.28,3.97,8.18,1.68,..,13.64,12.29,12.18,0.2,9.75,14.16,15.22,12.12,7.95,40.76,22.47,12.59,21.42,47.47,12.15,16.71,19.7,..,24.75,21.73,17.91,33.61,8.87,..,..,..
..Indo-pacific mackerel (Hasa-hasa),..Autonomous Region in Muslim Mindanao (ARMM),901,453,318,342,944,444,311,236,948.26,422.55,308,226.75,907.11,383.42,285,392.62,940.33,528.52,411.66,581.68,811.06,557.96,466.69,619.21,777.81,849.92,545.71,584.35,765.19,206,559.4,734.1,698.04,242.06,598.46,727.73,751.21,318.26,624.5,841.82,728.33,367.23,573.88,559.22,727.76,417.25,562.4,644.19,793,514.93,555.79,699.73,851.77,573.51,550.78,579.65,836.07,472.66,478.8,477.34,817.44,524.38,421.75,511.8,844.71,467.01,514.57,625.93,857.77,502.3,619.36,672.16,684.03,545.66,638.64,684.57,938.69,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Basilan,188,193,130,144,195,180,100,12,175,157,89,11,107.11,84.11,84.24,38.03,40,51.02,127.43,114.14,69.19,44.68,106.61,97.68,55.4,45.85,85.46,96.91,57.23,163.96,91.08,94.88,48.88,149.32,94.52,91.72,40.28,154.9,112.88,71.77,38.84,147.18,116.44,60,37.1,141.85,100.15,58.83,40.8,146.3,95.76,61.66,38.32,141.61,106.23,59.7,25.34,109.24,59.89,0.23,10.48,107.35,5.76,40.37,19.71,26,23.17,42.26,21.28,26.32,22.42,44.76,1.19,7.4,8.48,..,1.25,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Lanao del Sur,28,24,28,38,29,24,28,42,29.16,24.32,27.69,42.7,25,23.6,26.4,41.23,24.62,..,24.93,..,..,..,22.72,13.92,..,..,51.04,28.24,6.29,..,51.16,28.67,6.96,..,50.62,31.85,6.97,..,50.64,30.34,6.71,..,50.51,30.68,6.8,..,24.71,43.71,11.25,..,..,53.31,32.28,3.49,3.56,7.67,3.56,3.84,3.89,4.02,4.07,4.09,3.61,3.61,5.87,5.91,6.19,6.41,..,6.54,60.25,43.25,35.08,36.46,61.21,44.82,34.38,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Maguindanao,58,50,64,40,60,45,56,..,53,42.23,51.82,..,34.26,36.6,23,..,17.81,87.67,7.32,0.84,14.36,51.57,6.4,7.25,14.69,8.24,25.27,10.12,15.2,9.46,22.41,27.25,17.28,9.1,24.43,24.43,25.99,25.88,20.72,23.32,27.4,28.98,22.31,24.1,26.4,29.14,21.33,23.39,25.91,27.43,19.76,23.12,25.77,27.28,4.01,26,23.34,25.58,3.96,24.8,21.91,22.56,8.93,26.14,29.77,33.51,9.48,25.56,32.01,37.15,9.96,26.02,27.9,34.65,3.11,26.12,26.19,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Sulu,571,112,32,120,604,111,61,182,636.28,119.73,59.08,173.05,630,126.2,63,161,601.38,155.01,85.75,225.41,558.33,260.09,71.59,253.43,523.34,307.1,69.27,195.58,483.73,12.68,57.76,188.4,393.76,13.52,59.85,189.41,374.02,14.03,58.73,191.59,384.53,14.85,54.79,194.24,391.87,15.27,57.2,184.68,398.16,17.15,58.68,168.72,376.49,18.17,63.9,162.67,395.69,19.51,66.29,126.58,409.69,22,62.96,119.82,420.68,24.83,68.2,113.99,408,28.03,74.35,120.33,366.76,30.28,79.63,126.69,376.98,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Tawi-tawi,56,74,64,..,56,84,66,..,54.82,79.27,80.41,..,110.74,112.91,88.36,152.36,256.52,234.82,166.23,241.29,169.18,201.62,259.37,246.93,184.38,488.73,314.67,253.5,202.74,19.9,336.99,394.9,231.16,70.12,369.04,390.32,303.95,123.45,381.53,524.8,270.85,176.22,329.83,250.2,265.59,230.99,359.01,333.58,316.88,324.05,381.59,392.92,378.91,382.96,373.08,323.61,388.14,314.49,344.77,321.71,371.29,368.38,340.49,321.86,368.68,376.76,407.53,437.71,396.48,404.26,452.38,437.8,253.1,436.87,486.21,486.94,499.89,..,..,..
..Mullet (Kapak),Philippines,4124,3036,3594,4316,4163,3099,3551,3350,3942.43,3073,3614.31,3699.33,3464.92,3973.63,4392.52,4687.88,4097.06,4044.21,4309.48,4695.94,3495.01,4089.87,4886.47,4511.32,3276.35,4118.82,4866.16,5129.11,3507.97,2818.54,3434.58,3911.36,3300.92,4238.66,3794.43,3876.57,2773.26,4220.55,3555.97,4135.9,3419.18,4106.33,3583.1,3509.86,3265.25,3774.02,3271.2,2871.7,2878.35,3655.34,3450.23,3139.3,3054.81,3371.64,3362.27,3225.68,3128.74,3350.23,3465.18,3392.27,2903.88,3286.32,3782.74,3514.59,3841.91,3419.64,3281.17,3620.09,3123.4,4392.96,3326.72,3920.94,3320.6,3593.68,4848.8,4339.84,3840.97,..,..,..
..Mullet (Kapak),..National Capital Region (NCR),2,3,50,10,7,8,6,9,25,20,27.75,19.13,112.58,106.72,249.13,680.43,111.44,138.33,195.49,328.29,148.59,188.34,149.08,192.47,99.87,68.18,95.78,360.43,135.87,91.51,77.9,129.18,93.93,71.13,82.31,86.96,74.19,63.68,75.64,120.04,79.68,55.21,48.28,93.9,72.47,58.2,79.83,91.54,84.01,108.14,108.25,176.55,119.8,68.72,85.33,140.13,82.51,68.76,23.37,50.5,44.56,19.58,15.13,34.69,28.26,18.97,18.84,36.86,55.73,18.7,15.12,53.41,40.31,24.55,8.03,12.68,26.6,..,..,..
..Mullet (Kapak),..Cordillera Administrative Region (CAR),..,..,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Kapak),....Abra,..,..,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Kapak),....Apayao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Kapak),....Benguet,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Kapak),....Ifugao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Kapak),....Kalinga,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Kapak),....Mountain Province,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Kapak),..Region I (Ilocos Region),200,6,24,541,211,20,31,121,190,24.55,15.12,119,168.53,57.76,54.91,97.9,70.88,86.52,75.05,93.27,40.55,88.01,66.3,76.6,60.21,100.72,53.99,77.98,72.23,51.83,39.82,24.45,38.42,29.75,33.21,29.42,29.62,29.14,34.84,33.24,27.5,53.21,27.22,33.22,25.18,38.39,52.52,54.86,29.26,49.83,44,53.94,28.87,23.02,41.52,47.09,31.96,16.69,35.62,47.59,32.98,14.36,33.39,41.17,24.93,24.01,26.32,46.45,29.11,44.9,36.49,61.33,37.83,42.01,58.76,62.6,21.14,..,..,..
..Mullet (Kapak),....Ilocos Norte,1,..,..,2,1,3,1,1,1,3.05,0.58,1.31,3.57,2.76,6.53,0.59,7.03,2.01,2.16,3.58,2.67,1.81,0.31,1.65,2.92,1.7,0.71,0.61,0.32,1.08,0.57,0.8,0.17,0.92,3.3,2.78,6.17,1.3,3.82,4.65,6.52,1.39,2.91,5.39,4.69,3.8,9.01,6.45,5.73,6,9.32,5.04,1.3,1.35,6.16,2.02,4.34,3.38,3.8,3.14,3.27,2.72,3.14,2.92,3.04,1.05,3.47,4.35,0.78,6.05,4.09,2.3,1.56,4.92,5.97,2.02,0.98,..,..,..
..Mullet (Kapak),....Ilocos Sur,127,..,7,404,139,10,8,11,130,12.5,2.54,8.69,111.96,18.5,3.38,11.01,12.85,16.51,4.82,7.83,11.63,5.14,11.21,5.5,8.49,7.57,10.45,7.91,12.85,5.87,8.96,6.81,9.69,8.36,10.91,6.39,8.15,5.79,13.79,8.83,9.69,7.48,13.42,12.57,9.43,10.69,12.71,14.79,12.98,11.16,13.59,12.28,8.27,3.45,7.98,9.55,6.32,2.96,8.37,9.5,6.32,2.24,6.71,4.16,5.16,3.47,5.14,17.29,14.25,19.66,13.62,9.3,14.93,17.73,10.65,13.6,11.87,..,..,..
..Mullet (Kapak),....La Union,2,1,2,4,3,2,3,10,2,2,4,9,8,10.5,9,22.3,7,25,19.07,16.86,3.01,40,20.02,11,12,23,10,5.97,14.08,21,7.5,5,11.41,13.07,5.78,6.09,2.2,12,4.48,8.94,1.88,31.05,1.38,6.69,1.94,11.22,1.57,6.07,1.74,27.2,2.63,6.29,8.18,6.82,6.64,6.59,3.34,3,3.15,4.97,4.45,3.81,2.75,6.35,2.52,4.21,4.02,3.84,2.78,3.86,7.32,11.33,5.55,4.1,7.39,11.81,1.67,..,..,..
..Mullet (Kapak),....Pangasinan,70,5,15,131,68,5,19,99,57,7,8,100,45,26,36,64,44,43,49,65,23.24,41.06,34.76,58.45,36.8,68.45,32.83,63.49,44.98,23.88,22.79,11.84,17.15,7.4,13.22,14.16,13.1,10.05,12.75,10.82,9.41,13.29,9.51,8.57,9.12,12.68,29.23,27.55,8.81,5.47,18.46,30.33,11.12,11.4,20.74,28.93,17.96,7.35,20.3,29.98,18.94,5.59,20.79,27.74,14.21,15.28,13.69,20.97,11.3,15.33,11.46,38.4,15.79,15.26,34.75,35.17,6.62,..,..,..
..Mullet (Kapak),..Region II (Cagayan Valley),26,1,3,59,40,14,10,45,36,21,11,13,35.46,26.63,14,22,47.7,29.79,15.89,26.53,45.65,30.37,48.51,28.84,39.53,31.73,58.29,57.37,43.74,54.97,57.42,36.6,32.01,33.66,28.06,39.44,39.17,28.3,28.29,47.95,44.73,49.17,40.06,49.53,64.75,50.33,41.65,49.08,60.1,61.88,46.71,59.91,73.94,67.14,50.74,45.85,73.79,72.86,44.43,39.26,59.08,74.08,31.69,34.89,46.74,71.9,31.43,30.31,42.48,69.15,30.88,30.46,32.95,66.28,29.35,28.59,32.01,..,..,..
..Mullet (Kapak),....Batanes,..,1,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.05,0.03,0.07,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Kapak),....Cagayan,26,..,1,37,19,14,1,32,17,10,1,10,29.46,16.63,6,18,41.7,25.79,7.89,18.03,38.15,26.31,42.65,21.19,32.63,27.6,52.72,52.15,37.9,49.9,51.4,31.59,26.61,28.14,22.93,34.54,35.26,23.13,23,40.04,37.21,39.11,32.66,40.63,55.94,41.36,34.89,39.22,51.39,52.9,37.59,50.15,64.54,57.09,41.38,36.16,64.21,61.57,36.39,31.41,50.55,64.14,23.65,26.42,39.51,61.53,23.22,22.21,34.61,58.49,22.84,22.19,25.96,57,21.81,21.18,25.24,..,..,..
..Mullet (Kapak),....Isabela,..,..,1,21,21,..,9,13,19,11,10,3,6,10,8,4,6,4,8,8.5,7.5,4.06,5.86,7.65,6.9,4.13,5.57,5.22,5.84,5.07,6.02,4.54,5.4,5.17,5.13,4.9,3.91,5.17,5.11,7.91,7.52,7.37,7.12,8.67,8.81,8.5,6.76,9.86,8.66,8.95,9.05,9.22,8.35,9.6,8.89,9.35,8.74,11.18,7.71,7.49,7.36,9.28,7.74,8.18,6.81,9.6,7.95,7.96,7.43,10,7.81,8.06,6.73,9.07,7.34,7.22,6.54,..,..,..
..Mullet (Kapak),....Nueva Vizcaya,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Kapak),....Quirino,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.47,..,0.35,..,..,..,..,0.18,..,..,2.69,0.28,0.23,..,0.47,..,..,..,..,..,0.54,1.05,0.45,0.47,0.34,0.84,0.11,0.33,0.36,1.17,0.66,0.3,0.29,0.42,0.77,0.26,0.14,0.44,0.66,0.23,0.21,0.26,0.21,0.2,0.19,0.23,..,..,..
..Mullet (Kapak),..Region III (Central Luzon),227,168,178,221,245,212,217,234,290.01,218.93,317.38,287.55,287.52,229.28,422.15,396.92,374.52,316.54,377.71,366.08,433.91,360.06,422.6,429.01,427.13,359.52,387.72,214.66,299.99,234.21,278.53,184.61,262.11,225.92,280.66,247.56,273.2,186.04,279.53,256.58,247.11,243.1,250.83,232.2,246.55,245.91,238.76,253.15,248.63,251.3,246.92,240.3,233.99,272.69,218.3,377.55,263.48,442.96,291.33,416.3,680.24,500.67,437.03,456.58,973.53,739.45,698.64,705.69,613.63,1101.04,594.14,1336.98,998.62,1050.02,716.5,1229.93,892.85,..,..,..
