Species,Geolocation,2002 Quarter 1,2002 Quarter 2,2002 Quarter 3,2002 Quarter 4,2003 Quarter 1,2003 Quarter 2,2003 Quarter 3,2003 Quarter 4,2004 Quarter 1,2004 Quarter 2,2004 Quarter 3,2004 Quarter 4,2005 Quarter 1,2005 Quarter 2,2005 Quarter 3,2005 Quarter 4,2006 Quarter 1,2006 Quarter 2,2006 Quarter 3,2006 Quarter 4,2007 Quarter 1,2007 Quarter 2,2007 Quarter 3,2007 Quarter 4,2008 Quarter 1,2008 Quarter 2,2008 Quarter 3,2008 Quarter 4,2009 Quarter 1,2009 Quarter 2,2009 Quarter 3,2009 Quarter 4,2010 Quarter 1,2010 Quarter 2,2010 Quarter 3,2010 Quarter 4,2011 Quarter 1,2011 Quarter 2,2011 Quarter 3,2011 Quarter 4,2012 Quarter 1,2012 Quarter 2,2012 Quarter 3,2012 Quarter 4,2013 Quarter 1,2013 Quarter 2,2013 Quarter 3,2013 Quarter 4,2014 Quarter 1,2014 Quarter 2,2014 Quarter 3,2014 Quarter 4,2015 Quarter 1,2015 Quarter 2,2015 Quarter 3,2015 Quarter 4,2016 Quarter 1,2016 Quarter 2,2016 Quarter 3,2016 Quarter 4,2017 Quarter 1,2017 Quarter 2,2017 Quarter 3,2017 Quarter 4,2018 Quarter 1,2018 Quarter 2,2018 Quarter 3,2018 Quarter 4,2019 Quarter 1,2019 Quarter 2,2019 Quarter 3,2019 Quarter 4,2020 Quarter 1,2020 Quarter 2,2020 Quarter 3,2020 Quarter 4,2021 Quarter 1,2021 Quarter 2,2021 Quarter 3,2021 Quarter 4
..Indo-pacific mackerel (Hasa-hasa),....Nueva Ecija,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Pampanga,..,69,..,..,..,..,..,..,..,..,..,..,957.91,266.19,1846.86,582.85,1178.38,615.67,1548.72,1800.11,1484.51,681.69,1370.86,1773.08,1572.25,2376.32,1600.22,1547.76,2092.8,2192.95,2235.76,2386.86,2414.25,2277.39,2479.6,3186.74,1716.92,2257.24,2116.78,2538.31,1644.72,1992.45,1577.35,2582.28,2044.31,1897.6,1571.41,2386.1,2023.75,1583.7,1520.2,2320.99,1908.27,1685.04,1551.92,1823.12,1700.46,1654.68,1686.48,2019.95,1343.37,1345.43,1970.37,2330.82,2269.71,2428.53,2868.91,3558.32,3159.88,2489.51,2666.43,3558.56,2722.85,2650.01,2924.45,3906.62,2826.7,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Tarlac,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Zambales,810,720,378,1440,930,1100,567,357,1040,1340,907.99,245,2240.1,709.16,399.09,1829.7,3566.12,154,2926.14,2659.12,3686.01,4583.24,1826.3,5052.86,2097.81,6227.3,2134.32,1419.73,4009.26,2846.82,1148.35,1135.88,1311.01,1245.99,2907.98,2155.78,866.6,2703.79,4024.93,1114.35,2253.75,1953.62,2976.55,1857.93,2082.09,1896.22,3007.93,1820.03,2098.09,1849.13,3067.21,1895.86,2108.56,1960.4,3045.61,3731.77,1204.26,2576.87,3285.85,1631.65,6922.09,1735.2,4593.55,2945.84,6925.72,1853.27,6661.61,20939.17,10461.69,9083.5,5839.98,14417.18,8463.78,3124.8,1280.76,4929.51,7077.49,..,..,..
..Indo-pacific mackerel (Hasa-hasa),..Region IV-A (CALABARZON),38265,42317,30949,60205,46569,35911,27841,56177,54811.85,38488.5,32950.98,67163.91,38249.06,42472.31,46346.5,64987.73,49088.84,50166.67,41142.03,50600.22,37695.57,51183.17,71570.63,46811.21,63546.14,28315.87,43053.88,34259.84,48773.39,34364.98,45405.81,34736.2,52804.17,40345.42,51024.81,73357.13,63160.2,50319.21,61700.96,78141.17,82201.87,53167.56,36561.36,36593.25,31896.09,45971.18,35610.68,41727,30602.31,34659.8,30160.87,50931.88,31556.03,45046.04,30884.91,37553.48,47182.1,57445.02,29583.34,28098.64,21099.13,20734.98,38861.25,28414.94,17252.71,26175.07,32817.5,21051.7,13344.49,18744.36,20722.4,22158.13,26681.68,22449.53,37067.13,24698.38,30652.35,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Batangas,6240,4620,1393,6375,6078,3747,1408,8256,5955,4240,2460,7626.32,8730.7,7687.44,6426,6865.9,6123.6,15528.84,7419.33,4427.93,10026.06,13104.01,15919.21,9323.76,28865.98,8924.06,9222.44,12652.26,28375.21,5344.73,13356.49,10792.17,22311.27,11282.37,14169.41,11204.97,19585.4,8976.9,16696.51,15258.3,20951.12,10952.22,12945.37,9812.78,16678.01,9334.39,8954.29,14639.4,15023.67,10188.57,9329.29,9721.23,2747.96,8379.61,3436.81,3144.38,1409.11,4117.54,4411.93,6825.48,1554.07,2338.47,17715.54,6976.48,1707.17,3675.22,14785.12,8805.06,1656.19,3567.67,9882.37,10158.78,838,7344.64,4398.79,5911.47,9326.01,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Cavite,11550,17769,26386,27083,26922,32164,26383,29245,30449.2,34248.5,30445.98,44267.27,28324.43,34646.37,37587.34,47942.28,39209.01,34457.9,33610.05,44768.39,25771.49,35202.82,43471.97,30505.87,17791.48,17928.45,27423.38,12559.34,12011.65,25346.93,18741.75,14700.61,28884.99,28422.05,33727.16,54574.4,36790.04,36797.33,38761.45,60567.83,40877.93,38845.75,13605.7,18114.51,14098.96,31007.39,18892.95,19196.2,15390.15,13849.39,17930.56,30262.75,27683.04,32283.33,24528.36,32085.06,42153.04,52959.4,14476.41,20541.75,19041.08,15359.3,19938.16,20676.21,14266.85,18143.85,16412.65,12246.64,10581.01,14829.79,9671.45,11608.1,24885.05,14938.01,32520.34,18472.51,21138.84,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Laguna,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Quezon,20475,19928,3170,26747,13569,..,50,18676,18407.65,..,45,15270.32,1193.93,138.5,2333.16,10179.55,3756.23,179.93,112.65,1403.9,1898.02,2876.34,12179.45,6981.58,16888.68,1463.36,6408.06,9048.24,8386.53,3673.32,13307.57,9243.42,1607.91,641,3128.24,7577.76,6784.76,4544.98,6243,2315.04,20372.82,3369.59,10010.29,8665.96,1119.12,5629.4,7763.44,7891.4,188.49,10621.84,2901.02,10947.9,1125.03,4383.1,2919.74,2324.04,3619.95,368.08,10695,731.41,503.98,3037.21,1207.55,762.25,1278.69,4356,1619.73,..,1107.29,346.9,1168.58,391.25,958.63,166.88,148,314.4,187.5,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Rizal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Indo-pacific mackerel (Hasa-hasa),..MIMAROPA Region,17043,16726,22058,34990,32887,18980,22176,37536,35124.11,28101.45,23999.53,75306.59,25501.4,27036.36,26886.32,79568.01,45798.48,44866.24,34010.26,72258.32,54098.13,66892.26,42848.08,37886.65,31114.27,76731.48,60740.32,82867.69,57171.15,80682.28,46257.41,55333.45,61455.25,61023.58,40697.35,45260.62,61754.18,77980.19,40973.74,59047.67,69191.18,81360.44,50620.13,93695.71,70425.84,87653.73,39366.49,70441.34,45193.03,91622.94,34992.02,49661.36,38326.49,84017.95,51591.97,51310.64,44632.04,89128.48,52589.07,69326.78,48728.23,93555.32,77048.02,83151.48,59071.51,119776.29,60344.11,127398.4,70545.93,111333.87,102113.93,142556.11,100937.02,88545.71,86449.12,145927.64,92785.58,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Marinduque,715,220,550,544,689,121,317,..,713.36,219.39,619.76,..,1275.39,374.15,649.48,..,901.87,236.88,912.98,469.51,888.01,480.6,1486.45,709.98,..,471.46,962.28,587.66,..,595.78,1160.27,706.02,621.88,648.88,1031.54,813.54,668.61,669.26,1059.38,766.71,532.85,502.9,1403.93,898.34,657.88,550.04,1892.06,1167.63,608.49,617.65,1858.32,1307.7,634.2,704.48,1967.39,1306.45,922.88,..,1871.42,..,1336.17,..,2042.1,1540,2443.44,34.83,..,1833.64,2335.59,149.45,..,1677.49,2016.76,169.82,147.51,1181.51,1814.33,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Occidental Mindoro,1580,1702,1622,1162,1556,1505,1592,1560,1701.37,1708.14,1690.95,1332.63,2335.86,2301.96,2027.53,5765.48,3719.52,3269.35,2138.85,2933.97,3885.66,4056.65,2603.6,3650.59,5077.87,4734.4,3059.26,3403.65,5188.74,1388.19,3211.2,3595.42,6447.18,2464.74,3474.9,3666.58,5740.88,2421.5,3731.67,3755.75,6163.23,2502.5,3627.21,3898.4,6210.39,2668.2,3431.07,4160.6,7215.82,2799.24,3610.76,4182.08,7284.32,2808.85,3596.45,4203.32,7441.69,2894.29,3591.63,4165.35,4759.59,3192.71,3583.85,3987.98,3831.25,3868.06,1943.94,2755.26,4372.4,2686.46,1727.72,2419.17,3777.34,1929.74,2472.05,2264.33,2277.85,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Oriental Mindoro,2050,1265,3467,2068,2793,1400,3660,1639,2925,1520.53,3468.99,2606.83,2865.33,1613.26,4004.34,2326.45,2956.77,1571.59,2962.92,1163.82,2295.49,1717.18,3252.06,1482.19,2132.15,1844.04,3092.56,1290.14,2761.44,1886.95,3173.37,1389.11,2152.41,2029.66,3379.34,1445.6,2155.27,2095.85,3585.19,1484.1,3264.71,2009.44,3191.62,1465.65,3421.45,3313.12,3382.62,1399.11,3710.95,3235.28,3511.37,1199.28,3382.66,3122.79,3498.98,1136.3,2378.99,3231.89,3249.07,1645.31,2674.57,4572.3,3196.78,1772.76,2794.64,7381.54,1195.14,15983.11,2912.72,6218.88,3672,8550.5,2618.4,6437.78,1377.57,6098.87,3418.67,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Palawan,11618,12258,15789,30014,27018,14706,16089,33621,28625.64,23410.97,17748,70665,17189.28,21017.93,19250.98,69979.66,36516.06,38243.05,27649.84,66601,45999.6,58377,34575.5,30137.52,23042.5,66544.74,52446.58,74350.9,45648.37,72215,36524.3,46947.37,49809.3,51067.7,30075.41,36338.21,49404.82,69081.61,28838.93,47971.87,56753.76,68719.52,40327.54,81631.05,56853.58,77038.4,28477.98,59732.91,29047.39,79322.54,23602.78,39464.21,22713.4,73049.45,40060.3,41447.55,29387.39,77679.73,42514.38,60627.93,33197.62,76683.66,64112.36,71334,43678.61,100009.03,51361.15,98051.72,52629.53,93488.48,90705.44,124010.04,83764.12,67683.94,75085.08,130510.22,74422.67,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Romblon,1080,1281,630,1202,831,1248,518,716,1158.74,1242.42,471.83,702.13,1835.54,1729.06,953.99,1496.42,1704.26,1545.37,345.67,1090.02,1029.37,2260.83,930.47,1906.37,861.75,3136.84,1179.64,3235.34,3572.6,4596.36,2188.27,2695.53,2424.48,4812.6,2736.16,2996.69,3784.6,3711.97,3758.57,5069.24,2476.63,7626.08,2069.83,5802.27,3282.54,4083.97,2182.76,3981.09,4610.38,5648.23,2408.79,3508.09,4311.91,4332.38,2468.85,3217.02,4501.09,5322.57,1362.57,2888.19,6760.28,9106.65,4112.93,4516.74,6323.57,8482.83,5843.88,8774.67,8295.69,8790.6,6008.77,5898.91,8760.4,12324.43,7366.91,5872.71,10852.06,..,..,..
..Indo-pacific mackerel (Hasa-hasa),..Region V (Bicol Region),7772,5652,10595,8560,8466,5731,10924,7680,6825.98,9080.23,14059.47,5916.38,11675.44,13473.51,14723.03,11713.2,10476.29,10875.61,11203.06,9738.99,12049.78,14252.4,24023.51,19885.99,12096.14,14374.87,18280.23,27866.55,15974.13,28228.34,69555.97,97594.76,140335.27,104934.02,167717.28,119628.87,145700.18,116098.4,167718.21,131156.05,82898.11,79091.64,93359.51,94432.72,73223.03,85026.65,92820.57,108291.58,87020.05,112685.53,68009.45,113137.98,90746.66,82391.45,72941.87,93624.96,35563.3,78530.36,71757.24,135397.92,86887.02,75415.74,67660.93,98387.6,46458.58,78841.95,53971.18,140298.13,51219.77,23525.64,34718.3,96854.69,75471.63,20341.19,32724.23,116105.62,40485.97,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Albay,750,660,567,180,480,633,600,614,496.2,715,616.7,569.97,1426.83,845,402.5,1235,1235,1595,109.06,2870.3,1195.64,1990.04,1063.53,2452.27,1483.86,1678.73,699.76,130.87,1748.11,1490.6,..,..,1888.05,1340.64,2361.94,1028.4,2478.54,2611.05,2654.79,1458.78,2810.41,2770.93,2864.65,1585.89,2818.97,..,3687.8,..,4128.64,4238.21,..,..,3649.38,4723.47,..,..,3868.71,6881.6,..,..,3358.17,6367.31,..,620.95,4095.31,5708.81,..,544.8,4915.88,6561.56,8929.75,569.96,5671.79,7319.44,9135.31,925.17,9188.37,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Camarines Norte,276,230,..,414,414,576,607,405,400,2858.17,3425.25,268.31,538.45,2321.98,3193.95,120,586.68,2531.5,3055,95.84,718.94,3166.92,5014.72,250,660.37,3296.25,..,330,750.27,2705.15,..,340.01,282.5,2827.22,..,364.99,266,2235.33,..,416,294.58,2149.82,..,372.01,356.01,2348.06,..,398.57,311.58,2834.06,..,319.03,..,586.8,617.2,..,975.03,566.5,15373.95,57.13,83.58,..,72,71.21,1296,..,25.44,970.07,1438.01,..,557.11,939.67,..,68.44,98.1,28.8,..,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Camarines Sur,2440,720,270,3400,2546,585,180,145,650,500,250,246,98.88,151.34,53.33,206.68,147.99,53.16,586.6,115.38,151.5,82.79,322.14,213.89,110.36,113.92,3947.4,2962.91,1210.76,8293.33,8981.77,3801.41,2150.41,3572.09,7144,3865.62,2428.16,5164.3,7336.39,6173.58,2635.4,3959.03,7233.66,7033.91,2705.77,3414.62,5841.51,6479.59,2496.15,3742.19,5504.34,7041.85,2287.99,3248.51,5100.25,6859.69,1580.3,1407.82,4079.37,5431.17,1595.51,569.88,2689.02,6158.15,1254.17,386.78,1309.83,7924.94,1317.89,97.65,1240.69,5826.72,1448.9,..,1078.65,1293.2,37.4,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Catanduanes,500,600,825,1000,700,845,1027,1560,690,860.04,1067.94,1279.74,527,1360,344.45,3253.44,2000,1560,..,346.1,1963.29,2377.11,644.07,422.79,1845.78,2772.04,1260.5,434.01,1762.26,2400,211.22,275.17,1205.2,3484,1559.8,227.7,1570.14,1758.99,229.07,265.21,841.4,1596.08,470.96,228.53,141.18,1630.1,680.51,260.29,178.09,1368.19,640.16,234.38,76.76,688.85,1032.43,208.7,66.5,505.84,643.17,171.65,54.81,632.01,636.06,172.43,89.43,604.55,2277.55,147,94.4,443.2,2786.82,208.72,101.36,320,1932.05,44.8,120,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Masbate,3185,2730,7113,2500,3660,2308,6980,3473,3705.65,3277.08,7299.58,2511.36,3676.56,3659.3,6267.64,3325.38,5402.5,4339,6553.6,3886.56,6737.75,5301.29,9371.02,10974.54,7733.97,5779.15,11127.2,18546.16,9943.08,5361.44,18532.1,20735.58,12330.7,8600,30884.25,31734.56,19374.93,10392.34,31921.77,39611.1,54645.88,42043.82,52721.81,63268.45,42697.62,51810.42,53787.97,77324.87,56636.21,74932.71,34766.42,83816.15,71549.22,68165.72,43517.9,74356.85,24120.8,65257.39,33969.87,122582.69,70336.72,62917.84,47832.38,85677.45,33720.17,65893.75,41905.92,120464.84,34463.84,15196.6,19160.37,87952.42,60575.26,9106.22,15935.09,112591.78,29827,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Sorsogon,621,712,1820,1066,666,784,1530,1483,884.13,869.94,1400,1041,5407.72,5135.89,4461.16,3572.7,1104.12,796.95,898.8,2424.81,1282.66,1334.25,7608.03,5572.5,261.8,734.78,1245.37,5462.6,559.65,7977.82,41830.88,72442.59,122478.41,85110.07,125767.29,82407.6,119582.41,93936.39,125576.19,83231.38,21670.44,26571.96,30068.43,21943.93,24503.48,25823.45,28822.78,23828.26,23269.38,25570.17,27098.53,21726.57,13183.31,4978.1,22674.09,12199.72,4951.96,3911.21,17690.88,7155.28,11458.23,4928.7,16431.47,5687.41,6003.5,6248.06,8452.44,10246.48,8989.75,1226.63,2043.56,1357.2,7674.32,3527.09,4545.03,1221.87,1313.2,..,..,..
..Indo-pacific mackerel (Hasa-hasa),..Region VI (Western Visayas),50558,65494,164460,73371,55268,74292,176393,76324,51847.41,66017.22,214411.26,84926.84,46268.46,90202.6,232077.28,93907.24,64422.31,80804.21,174498.61,93927.41,76209.39,72453.84,140659.54,91736.02,70886.74,80440.5,110531.31,99153.72,67558,141313.97,168616.17,105344.03,89222.84,132442.28,184758.29,110979.18,120505.7,179800.41,157295.34,115874.21,88294.38,180729.11,177847.05,107653.14,83587.94,177414.4,158737.6,104319.58,108375.14,165506.14,152103.99,115940.2,125872.17,188592.04,119834.4,107711.71,98648,138728.31,127626.93,129128.6,97457.64,196186.01,208559.18,240800.17,159191.84,233557.05,177468.62,145679.41,62125.11,144213.16,119166.14,91394.23,89835.12,91380.65,106757.69,109328.15,93577.37,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Aklan,444,526,834,3570,437,509,879,8500,487.71,830.69,1186.09,8865.22,1256.54,5607.36,2800.43,1566.38,5866.05,12814.78,4041.18,1851.92,4233.43,5547.78,8661.16,2622.44,4604.29,5793.47,5965.55,3320.66,2704.77,7747.5,7764.96,4842.99,4778.09,7536.96,7456.02,5099.11,5479.97,7712.05,8369.22,4482.1,5345.74,7734,8015.71,4839.29,6413.16,8001.51,8216.87,4421.62,6646.72,9041.54,8558.51,6781.37,7289.15,10323.7,8191.12,6737.29,6668.75,10687.82,8595.82,6786.67,6031.38,11104.39,10011.72,6968.58,6301.35,14149.19,13899.77,10530.39,7477.67,16471.32,16614.17,9921.63,9246.14,19964.54,16671.05,8861.56,6967.43,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Antique,230,142,25,50,213,108,99,83,250,210,52,28.8,120,1258.84,388.22,120.76,214.03,228,150,125.5,834.19,102.9,69,104,1193.53,1044.28,131.77,218.2,1356.94,1625.49,412.45,314.8,901.54,637.3,497.87,555.16,649.6,678.01,346.38,182.97,948.48,797.01,769.57,360.33,1356.27,546.64,975.12,441.82,1472.18,1186.81,904.92,519.96,1640.96,1309.29,759.64,453.93,1481.29,2813.02,1193.68,865.62,1618.85,1424.74,1826.55,626.24,2239.89,1097.57,1366.81,723.74,2286.97,679.54,1601.07,910.92,3058.73,1440.54,1574.96,2038.87,3058.73,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Capiz,10040,15660,10174,6344,9637,15275,10401,5823,10503.22,16175.33,9999.37,6903.52,11834.15,20905.33,9826.91,10707.05,14300.85,23855.24,9428.79,9598.54,14940.64,23897.02,11967.7,14270.91,16268.54,33364.23,13304.36,14615.54,18411.18,55947.85,51411.3,43053.6,40940.74,72168.16,63298.05,40533.29,35139.79,81120.52,73004.02,39266.24,41043.52,94182.38,93882,30227.78,30073.41,99140.83,74832.05,33449.77,38418.26,62493.25,65142.86,26239.34,36656.53,90173.62,58835.12,20557.46,21834.64,52506.37,50835.17,22109,19971.51,54338.27,52809.41,7418.67,19879.76,56663.6,12988.6,16572.78,12247.85,27143.08,16764.67,14186.18,22243.1,9578.96,20211.21,7171.33,14680.17,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Guimaras,190,240,213,102,192,420,..,45,180,450,237.5,52.5,165,214.5,203.4,317.36,500,1024.95,140,390.01,400.02,1354.2,700,537.53,480.03,549.98,252.49,295,192.51,110,173.75,261.07,308.97,285.36,339.86,460.5,421.28,188.68,42.25,287.5,925.65,128.83,173.18,1173.51,1493.7,1982.28,1235.24,1104.05,1019.51,942.39,1138.97,816.73,372.25,868.52,623.32,127.46,225.93,357.77,82.88,322.25,92.58,734.07,314.4,492.51,318.04,449.83,300.63,445.67,398.8,504.35,133.02,187.38,179.87,281.83,126.94,152.44,100.54,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Iloilo,30890,38056,145540,54950,30669,41665,153740,45048,24304.56,32413.85,194697.86,53422.59,20998.35,42402.19,206918.24,63830.37,25459.94,29241.69,151470.51,65302.9,25781.36,14152.37,102413.89,57480.21,21854.23,17726.61,71705.96,56959.63,21333.32,57952.46,75359.68,36530.74,18833.56,29991.88,95018.36,44579,57242.79,67930.59,51663.97,41080.76,12415.78,44517.46,39864.23,37109.71,9208.88,32824.46,42942.3,29319.95,2524.35,44968.13,44170.04,42074.1,7717.18,48533.09,35776.45,46579,8568.1,14682.58,20367.68,72912.64,35344.01,51005.73,59808.25,208753.77,91708.62,116649.76,116330.31,105767.93,15896.09,65716.11,21023.73,46421.19,20590.51,49731.13,36630.19,59341.12,22678.19,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Negros Occidental,8764,10870,7674,8355,14120,16315,11274,16825,16121.92,15937.35,8238.44,15654.21,11894.42,19814.38,11940.08,17365.32,18081.44,13639.55,9268.13,16658.54,30019.75,27399.57,16847.79,16720.93,26486.12,21961.93,19171.18,23744.69,23559.28,17930.67,33494.03,20340.83,23459.94,21822.62,18148.13,19752.12,21572.27,22170.56,23869.5,30574.64,27615.21,33369.43,35142.36,33942.52,35042.52,34918.68,30536.02,35582.37,58294.12,46874.02,32188.69,39508.7,72196.1,37383.82,15648.75,33256.57,59869.29,57680.75,46551.7,26132.42,34399.31,77578.81,83788.85,16540.4,38744.18,44547.1,32582.5,11638.9,23817.73,33698.76,63029.48,19766.93,34516.77,10383.65,31543.34,31762.83,46092.31,..,..,..
..Indo-pacific mackerel (Hasa-hasa),..Region VII (Central Visayas),22500,14094,20938,16203,42792,15283,15472,68766,39669.22,17252.18,18767.3,83605.4,28831.45,35176.3,15465.66,19047.15,7850.43,15340.21,40504.19,22871.92,9574.09,12228.31,21310.17,17804.47,11781.75,16995.08,22283.43,13896.44,14688.94,20107.68,23537.06,14635.34,13198.77,13921.85,20964.15,14523.38,12606.12,13468.91,20070.36,16676.45,18579.58,23959.5,19943.13,19040,22089.61,37437.38,25898.11,24080.96,23850.8,23227.32,19981.02,17596.87,26322.46,26056.26,14925.91,16113.1,10739.94,20634.08,15432.1,15812.84,15413.59,27560.9,23075.58,18079.02,30569.19,22126.45,39111.84,31964.02,26861.6,29224.62,33581.79,18321,40996.33,24230.15,60889.93,66708.48,60703.44,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Bohol,6320,4040,5508,2274,6360,4811,5830,4211,7999.56,6893.59,5529.42,4093.9,3473.2,16721.08,5439.99,9210,2714.4,1944,13687.29,12815.66,2434.12,1094.23,1441.74,4606.94,2700.43,3133.58,442.14,793.04,1794.8,2005.23,531.05,1500.28,1289.69,1490.08,1545.46,1509.87,1691.63,1214.09,1920.64,2672.7,3239.27,4606.37,4655.77,2107.91,5396.84,4056.72,5022.87,1466.65,5470.88,2841,1918.25,1106.31,2942.31,2689.64,1247.73,2264.6,5506.6,4400.6,3414.09,1819.14,911,897.09,3899.17,3240.73,3059.61,4481.82,6412.56,7855.33,9599.17,10898.38,7175.05,2102.86,21147,10988.55,19995.45,27944.89,26087.83,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Cebu,13490,7577,13449,12183,34474,8962,8143,62775,29349.66,9231.09,11097.88,78491.5,25008.25,18305.78,8787.89,9027.15,4727.13,12673.88,26360.92,9547.91,5979.97,10493.05,19789.43,12750.03,7860.54,12999.1,21615.61,12661.96,11831.74,16962.85,22043.6,12539.68,11061.24,11533.33,18485.78,12523.3,10303.2,11090.59,17187.36,13347.2,14728.86,18614.17,14677.84,16127.15,16162.07,32730.72,20294.15,21969.41,17706.38,19858.83,17503.38,16234.87,21638.1,22951.87,13292.98,13558.27,5128.69,12239.17,11832.43,13333.69,14012.25,26389.51,18040.48,14803.41,26361.2,15911.42,29802.01,17748.71,14474.02,16598.18,26171.34,15423.7,18237.88,12246.08,39163.81,32975.67,33232.88,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Negros Oriental,2650,2437,1981,1746,1958,1510,1499,1780,2320,1127.5,2140,1020,350,149.44,1237.78,810,408.9,642.33,375.98,388.35,1100,511.03,9,372.5,1220,648,140,365,1060,970,853.8,479.98,712.05,730.32,850.71,407.56,508.87,897.35,861.92,593.47,515.14,443.28,503,752,429.85,360.1,498.74,603.7,583.34,247.5,487,217.89,1644.85,108,325,255.83,..,3675.56,100.28,621.76,403.66,..,1060.93,..,1028.38,1453.21,2810.27,6317.98,2612.91,1346.46,155.4,713.44,1423.95,631.52,1622.67,5721.92,1215.23,..,..,..
..Indo-pacific mackerel (Hasa-hasa),....Siquijor,40,40,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80,80,120,60,130,70,75,0.78,214.4,85.68,76.44,2.4,169.6,108.61,115.4,135.79,168.12,82.2,82.65,102.42,266.88,100.44,63.08,96.31,295.68,106.52,52.94,100.85,289.84,82.35,41.2,90.2,279.99,72.39,37.8,97.2,306.75,60.2,34.4,104.65,318.75,85.3,38.25,86.68,274.3,75,34.88,120,280,87,42,175.5,381.6,80,81,187.5,364,108,66,167.5,..,..,..
..Indo-pacific mackerel (Hasa-hasa),..Region VIII (Eastern Visayas),65417,100047,100048,119454,90958,131364,101029,119497,108387.1,180559.91,150862.16,178609.52,124924.29,194568.04,178806.78,148323.78,197441.6,287897.36,196339.57,187953.73,222605.34,328023.22,238878.47,227962.71,230373.93,381287.74,234822.91,238277.52,311290.76,178102.42,177535.25,206117.67,273516.55,204758.44,164250.93,164578.89,289811.38,224110.72,151936.72,122696.34,164575.43,150652.76,124219.93,118626.37,141688.13,157788.53,132663.2,99560.68,98650.71,156561.88,135557.59,114865.24,130094.27,159274.39,132986.37,114594.54,105733.24,169288.82,120014.18,86751.07,89457.37,89146.57,88139.63,74812.95,82657.5,78076.94,122292.02,105658.23,163969.15,92261.24,154990.94,134771.58,153229.66,98796.84,83687.99,121055.5,91098.83,..,..,..
